Category,SubCategory,ManufacturerPartNo,Manufacturer,ItemName,Description,Stock,Price,Packaging,Series,DatasheetUrl,ImageUrls,AdditionalFields
Connectors,RF/Coaxial Connectors,U.FL-R-SMT-1(80),Hirose Electric Co Ltd,Coaxial Connectors,CONN U.FL RCPT STR 50 OHM SMD U.FL (UMCC) Connector Receptacle Male Pin 50Ohm Surface Mount Solder,11,296.853,,U.FL,https://www.hirose.com/en/product/document?clcode=CL0331-0472-2-80&productname=U.FL-R-SMT-1(80)&series=U.FL&documenttype=SpecSheet&lang=en&documentid=0000266838,https://media.digikey.com/photos/Hirose%20Elect%20Photos/U.FL-R-SMT(01).jpg,"[{MountingType,Surface Mount}]"
Connectors,USB Connectors,2305018-2,TE Connectivity,C Type Connectors,CONN RCP USB3.1 TYPEC 24P SMD USB-C (USB TYPE-C) USB 3.2 Gen 2 (USB 3.1 Gen 2 Superspeed + (USB 3.1)),9,1108.998,,-,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2305018&DocType=Customer+Drawing&DocLang=English&DocFormat=pdf&PartCntxt=2305018-2,https://media.digikey.com/Photos/TE%20Connectivity/MFG_2305018-2.jpg,"[{MountingType,Surface Mount}]"
Connectors,USB Connectors,10118194-0001LF,Amphenol Communications Solutions,Micro B Connectors,CONN RCPT USB2.0 MICRO B SMD USB - micro B USB 2.0,9,128.823,,-,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf,https://media.digikey.com/Photos/FCI%20Photos/10118194-0001LF.JPG,"[{MountingType,Surface Mount}]"
Connectors,RF/Coaxial Connectors,734120110,Molex,Coaxial Connectors,CONN UMC RCPT STR 50 OHM SMDU.FL (UMCC) Connector Receptacle Male Pin 50Ohm Surface Mount Solder,6,221.2395,,73412,https://www.molex.com/pdm_docs/sd/734120110_sd.pdf,https://media.digikey.com/Photos/Molex/73412-0110.jpg,"[{MountingType,Surface Mount}]"
Connectors,Headers and Wire Housings,B4B-PH-K-S(LF)(SN),JST Sales America Inc.,Male Headers,"CONN HEADER VERT 4POS 2MM Connector Header Through Hole 4 position 0.079"" (2.00mm)",15,61.611,,PH,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,https://media.digikey.com/photos/JST%20Photos/B4B-PH-K-S.jpg,"[{MountingType,Through Hole}]"
Connectors,Headers and Wire Housings,PZ254V-11-05P,XFCN,Male Headers,5 2.54mm Straight 1 Header?Breakaway Through HoleP=2.54mm Pin Headers ROHS,15,5.601,,,https://datasheet.lcsc.com/lcsc/2003141409_XFCN-PZ254V-11-05P_C492404.pdf,https://assets.lcsc.com/images/lcsc/900x900/20230119_XFCN-PZ254V-11-05P_C492404_front.jpg,"[{MountingType,Straight}]"
Connectors,USB Connectors,920-E52A2021S10100,Jing Extension of the Electronic Co.,Micro B Connectors,Receptacle USB - Micro B 5 USB 2.0 SMD USB Connectors ROHS,4,16.803,,,https://datasheet.lcsc.com/lcsc/2103051832_Jing-Extension-of-the-Electronic-Co--920-E52A2021S10100_C10418.pdf,https://assets.lcsc.com/images/lcsc/900x900/20200703_Jing-Extension-of-the-Electronic-Co--920-E52A2021S10100_C10418_front.jpg,
Connectors,USB Connectors,10118192-0001LF,Amphenol Communications Solutions,Micro B Connectors,CONN RCPT USB2.0 MICRO B SMD USB - micro B USB 2.0,7,128.823,,-,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf,https://media.digikey.com/Photos/Amphenol%20Photos/10118192-0001LF.jpg,"[{MountingType,Surface Mount}]"
Connectors,SIM Card Connectors,C77877,BOOMELE(Boom Precision Elec),Nano SIM Card Connectors,Connector SIM Card 6 6PIN Card Sockets,5,134.424,,,https://datasheet.lcsc.com/lcsc/1810251313_BOOMELE-Boom-Precision-Elec-NANO-SIM-6PIN_C77877.pdf,https://assets.lcsc.com/images/lcsc/900x900/20221231_BOOMELE-Boom-Precision-Elec-NANO-SIM-6PIN_C77877_front.jpg,
Connectors,Headers and Wire Housings,22232111,Molex,Male Headers,CONN HEADER VERT 11POS 2.54MMConnector Header Through Hole 11 position ,2,288.4515,,"KK254, 6373",https://www.molex.com/pdm_docs/sd/022232111_sd.pdf,https://media.digikey.com/photos/Molex/22-23-2111.jpg,"[{MountingType,Through Hole}]"
