Category,SubCategory,ManufacturerPartNo,Manufacturer,ItemName,Description,Stock,Price,Packaging,Series,DatasheetUrl,ImageUrls,AdditionalFields
Electromechanical,Switches,B3U-1000P,Omron Electronics Inc-EMC Div,Tactile Switches,SWITCH TACTILE SPST-NO 0.05A 12V,20,2386.026,Tube,B3U,https://www.digikey.com/en/htmldatasheets/production/883789/0/0/1/b3u-series-datasheet.html,https://media.digikey.com/photos/Omron%20Elect%20Photos/B3U-1000P.JPG,"[{MountingType,Surface Mount},{Package/Case,-}]"
Electromechanical,Switches,OS102011MA1QN1C,C&K,Slide Switches,Slide Switches SPDT On-On,14,141.1128,Bulk,OS,https://eu.mouser.com/datasheet/2/240/os-3050682.pdf,https://eu.mouser.com/images/ckcomponents/images/OS102011MA1QN1_t.jpg,"[{MountingType,Through Hole},{Package/Case,-}]"
Electromechanical,Switches,MSK12C02,SHOU HAN,Slide Switches,SMD Slide Switches ROHS,13,131.6235,Cut Tape,-,https://datasheet.lcsc.com/lcsc/1912111437_SHOU-HAN-MSK12C02_C431540.pdf,https://assets.lcsc.com/images/lcsc/900x900/20230204_SHOU-HAN-MSK12C02_C431540_front.jpg,"[{MountingType,Surface Mount},{Package/Case,-}]"
Electromechanical,Switches,ESE-18R61D,Panasonic Electronic Components,Limit Switches,SWITCH DETECTOR SPST-NC 10MA,4,369.666,Tape & Reel (TR),ESE18,https://www.digikey.com/en/htmldatasheets/production/102795/0/0/1/ese-18-series-datasheet.html,https://media.digikey.com/Photos/Panasonic%20Photos/ESE-18R63D.jpg,"[{MountingType,Surface Mount},{Package/Case,-}]"
Electromechanical,Switches,H8550VBACA,Bulgin,Rocker Switches,Rocker Switch,11,1306.044,-,-,https://eu.mouser.com/datasheet/2/57/A_Rocker_Switch-1600891.pdf,https://eu.mouser.com/images/bulgin/images/8500_rocker_DSL.jpg,"[{MountingType,Panel Mount},{Package/Case,-}]"
Electromechanical,Switches,T80-T-8019C-TECQ-3,Salecom,Toggle Switches,Miniature toggle switches - Salecom T80-T -5A 120VAC/28VDC 2A 240VAC,1,364.065,,-,https://www.modellingelectronics.co.uk/datasheets/miniature-toggle-switch-on-off-on-spdt-pack-of-5-5cae1cf0a26f3.pdf,https://www.modellingelectronics.co.uk/images/products/miniature-toggle-switches-salecom-t80-t-5ca9bf806dac1.jpg,"[{MountingType,Panel Mount},{Package/Case,-}]"
Electromechanical,Switches,218-10LPSTJR,CTS Electronic Components,DIP Switches,DIP Micro Switch 10 Position,2,516.4128,Tape & Reel (TR),218,https://eu.mouser.com/datasheet/2/96/218-1144897.pdf,https://eu.mouser.com/images/ctselectroniccomponents/images/218-10LPSTJ_SPL.jpg,"[{MountingType,PCB Mount},{Package/Case,-}]"
Electromechanical,Switches,SS-12D28L5,XKB Connectivity,Slide Switches,Shrouded SPDT 125V 15.85mm 6.8mm 3A PCPin 10000 Rectangular columnar -40?~+85? Black Plugin Slide Switches ROHS,1,207.237,-,-,https://datasheet.lcsc.com/lcsc/1810301448_XKB-Connectivity-SS-12D28L5_C319007.pdf,https://assets.lcsc.com/images/lcsc/900x900/20181030_XKB-Connectivity-SS-12D28L5_C319007_front.jpg,"[{MountingType,Shrouded},{Package/Case,-}]"
Electromechanical,Switches,TL3300CF160Q,E-Switch,Tactile Switches,12mm 5mm Round Button 50mA Brick nogging 12mm SPST 12V SMD12x12mm Tactile Switches ROHS,1,246.444,-,-,https://datasheet.lcsc.com/lcsc/1811151654_E-Switch-TL3300CF160Q_C273516.pdf,https://assets.lcsc.com/images/lcsc/900x900/20181115_E-Switch-TL3300CF160Q_C273516_front.jpg,"[{MountingType,Brick nogging},{Package/Case,-}]"
Electromechanical,Switches,SS-3235D-03-L2,XKB Connectivity,Slide Switches,Brick nogging 50mA DPDT 12V 3.5mm 9.05mm 12V 3.5mm 50mA SMDSplicing 10000 Rectangular columnar -40?~+85? Black SMD Slide Switches ROHS,2,72.813,Cut Tape,-,https://datasheet.lcsc.com/lcsc/2002271813_XKB-Connectivity-SS-3235D-03-L2_C381097.pdf,https://assets.lcsc.com/images/lcsc/900x900/20190328_XKB-Connectivity-SS-3235D-03-L2_C381097_front.jpg,"[{MountingType,Brick nogging},{Package/Case,-}]"
