Category,SubCategory,ManufacturerPartNo,Manufacturer,ItemName,Description,Stock,Price,Packaging,Series,DatasheetUrl,ImageUrls,AdditionalFields
Passive Components,EMI / RFI Components,BLM18AG601SN1D,Murata Electronics,Ferrite Beads and Chips,FERRITE BEAD 600 OHM 0603 1LN,44,28.005,Tape & Reel (TR),"EMIFIL®, BLM18",https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,https://media.digikey.com/Renders/Murata%20Renders/0603(LQG18).jpg,"[{MountingType,Surface Mount},{Package/Case,IND 0603 }]"
Passive Components,EMI / RFI Components,MMZ0603S601CT000,TDK Corporation,Ferrite Beads and Chips,FERRITE BEAD 600 OHM 0201 1LN,8,33.606,Tape & Reel (TR),MMZ,https://product.tdk.com/en/system/files?file=dam/doc/product/emc/emc/beads/catalog/beads_commercial_signal_mmz0603_en.pdf,https://media.digikey.com/Renders/TDK%20Renders/MMZ0603xxxxCT000.jpg,"[{MountingType,Surface Mount},{Package/Case,IND 0603 }]"
Passive Components,EMI / RFI Components,FCM1608KF-601T03,TAI-TECH,Ferrite Beads and Chips,600? @ 100MHz 1 350mA 500m? 0603 Ferrite Beads ROHS,45,33.606,Tape & Reel (TR),FCM,https://datasheet.lcsc.com/lcsc/2009171305_TAI-TECH-FCM1608KF-601T03_C141723.pdf,https://www.tai-tech.com.tw/_upload/images/1704271114530.png,"[{MountingType,Surface Mount},{Package/Case,IND 0603 }]"
Passive Components,EMI / RFI Components,HCB1005MF-100T25,TAI-TECH,Ferrite Beads and Chips,10? @ 100MHz 1 2.5A 50m? 0402 Ferrite Beads ROHS,79,2.8005,Tape & Reel (TR),HCB,https://datasheet.lcsc.com/lcsc/2009171335_TAI-TECH-HCB1005MF-100T25_C155103.pdf,https://www.tai-tech.com.tw/_upload/images/1704281047570.png,"[{MountingType,Surface Mount},{Package/Case,IND 0603 }]"
Passive Components,Inductors,B82422H1222K000,TDK Corporation,Fixed Inductors,FIXED IND 2.2UH 800MA 160MOHM SM,1,190.434,Tape & Reel (TR),SIMID,https://www.tdk-electronics.tdk.com/inf/30/db/ind_2008/b82422h.pdf,https://media.digikey.com/Renders/Epcos%20Renders/SIMID%201210%20(3225%20Metric).jpg,"[{MountingType,Surface Mount},{Package/Case,2-SMD J-Lead}]"
Passive Components,Inductors,1255AY-1R0N=P3,Murata Electronics,Fixed Inductors,SMD Power Inductors ROHS,10,142.8255,Tape & Reel (TR),DG6045C,https://search.murata.co.jp/Ceramy/image/img/P02/J(E)TE243B-0037_DG6045C_reference.pdf,"https://media.digikey.com/Photos/Murata%20Photos/MFG_DG6045C,DG6050C.JPG","[{MountingType,Surface Mount},{Package/Case,Nonstandard}]"
Passive Components,Inductors,TCK-059,Traco Power,Fixed Inductors,FIXED IND 2.2UH 4.8A 25MOHM SMD,6,999.7785,Tape & Reel (TR),-,https://www.tracopower.com/products/tck059.pdf,https://media.digikey.com/Photos/Traco-Power-North-America/MFG_TCK-044.jpg,"[{MountingType,Surface Mount},{Package/Case,Nonstandard}]"
Passive Components,Inductors,LQH5BPN100M38L,Murata Electronics,Fixed Inductors,FIXED IND 10UH 2.2A 56 MOHM SMD,3,190.434,Tape & Reel (TR),LQH5,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0122.pdf,https://media.digikey.com/Photos/Murata%20Photos/LQH5BPN1R5NT0L.JPG,"[{MountingType,Surface Mount},{Package/Case,Nonstandard}]"
Passive Components,Inductors,LQH5BPB220MT0L,Murata Electronics,Fixed Inductors,FIXED IND 22UH 1.05A 310.8 MOHM,6,187.6335,Tape & Reel (TR),LQH5,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0108.pdf,https://media.digikey.com/Photos/Murata%20Photos/LQH5BPN1R5NT0L.JPG,"[{MountingType,Surface Mount},{Package/Case,Nonstandard}]"
Passive Components,Inductors,LQW15AN1N6C00D,Murata Electronics,Fixed Inductors,FIXED IND 1.6NH 750MA 70MOHM SMD,36,14.0025,Tape & Reel (TR),LQW15,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0050.pdf,https://media.digikey.com/Renders/Murata%20Renders/LQW15A.jpg,"[{MountingType,Surface Mount},{Package/Case,0402 (1005 Metric)}]"
Passive Components,Inductors,GCNR5040-6R8MC,GLE,Fixed Inductors,SMD Power Inductors ROHS,10,16.803,Tape & Reel (TR),GCN,https://datasheet.lcsc.com/lcsc/1912181207_GLE-GCNR5040-6R8MC_C439377.pdf,https://assets.lcsc.com/images/lcsc/900x900/20230119_GLE-GCNR5040-6R8MC_C439377_front.jpg,"[{MountingType,Surface Mount},{Package/Case,SMD}]"
Passive Components,Inductors,MS0530-2R2M,COILMX,Fixed Inductors,SMD Power Inductors ROHS,3,58.8105,Tape & Reel (TR),-,https://datasheet.lcsc.com/lcsc/1912111437_COILMX-MS0530-2R2M_C380163.pdf,https://assets.lcsc.com/images/lcsc/900x900/20191102_COILMX-MS0530-2R2M_C380163_front.jpg,"[{MountingType,Surface Mount},{Package/Case,SMD}]"
Passive Components,Inductors,YNR6028-1R5N,YJYCOIN,Fixed Inductors,SMD Power Inductors ROHS,5,11.202,Tape & Reel (TR),YNR6028,https://datasheet.lcsc.com/lcsc/2006231815_YJYCOIN-YNR6028-1R5N_C341052.pdf,https://assets.lcsc.com/images/lcsc/900x900/20230110_YJYCOIN-YNR6028-1R5N_C341052_front.jpg,"[{MountingType,Surface Mount},{Package/Case,SMD 6x6mm}]"
Passive Components,Inductors,SNR8040K-150M,3L COILS,Fixed Inductors,SMD Power Inductors ROHS,1,53.2095,Tape & Reel (TR),SNR8040K ,https://datasheet.lcsc.com/lcsc/1912111437_3L-COILS-SNR8040K-150M_C326353.pdf,https://assets.lcsc.com/images/lcsc/900x900/20190117_3L-COILS-SNR8040K-150M_C326353_front.jpg,"[{MountingType,Surface Mount},{Package/Case,SMD}]"
Passive Components,Inductors,HCM0703-3R3-R,EATON,Fixed Inductors,SMD Power Inductors ROHS,4,436.878,Tape & Reel (TR),HCM0703,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hcm0703-high-current-power-inductors-data-sheet.pdf,https://media.digikey.com/photos/Coiltronics%20Photos/HCM0703-SERIES.jpg,"[{MountingType,Surface Mount},{Package/Case,Nonstandard}]"
Passive Components,EMI / RFI Components,MMZ1005F121ET000,TDK Corporation,Ferrite Beads and Chips,120? @ 100MHz 1 200mA 1.5? 0402 Ferrite Beads ROHS,13,53.2095,Tape & Reel (TR),MMZ-E,https://product.tdk.com/en/system/files?file=dam/doc/product/emc/emc/beads/catalog/beads_commercial_signal_mmz1005-e_en.pdf,https://media.digikey.com/Photos/TDK%20Photos/MFG_MMZ1005.jpg,"[{MountingType,Surface Mount},{Package/Case,0402 (1005 Metric)}]"
Passive Components,Inductors,SLF10145T-100M2R5-PF,TDK Corporation,Fixed Inductors,SMD Power Inductors ROHS,1,296.853,Tape & Reel (TR),SLF,https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_power_slf10145_en.pdf,https://media.digikey.com/photos/TDK%20Photos/SLF10145%20SERIES.jpg,"[{MountingType,Surface Mount},{Package/Case,Nonstandard}]"
Passive Components,Inductors,MCS0630-1R5MN2,PSA(Prosperity Dielectrics),Fixed Inductors,SMD Power Inductors ROHS,5,22.404,Tape & Reel (TR),MCS0630,http://www.pdc.com.tw/product/pdf/MCS0630%20Series.pdf,https://assets.lcsc.com/images/lcsc/900x900/20230220_PSA-Prosperity-Dielectrics-MCS0630-1R5MN2_C400394_back.jpg,"[{MountingType,Surface Mount},{Package/Case,SMD}]"
Passive Components,Inductors,BCIHP0735-4R7M,BC(Bao Cheng Elec),Fixed Inductors,SMD Power Inductors ROHS,1,81.2145,Tape & Reel (TR),BCIHP0718/24/30/35/40/50-0940,https://datasheet.lcsc.com/lcsc/1811091231_BC-Bao-Cheng-Elec-BCIHP0735-4R7M_C237931.pdf,https://assets.lcsc.com/images/lcsc/900x900/20181106_BC-Bao-Cheng-Elec-BCIHP0735-4R7M_C237931_front.jpg,"[{MountingType,Surface Mount},{Package/Case,SMD}]"
Passive Components,Inductors,SM3521-4R7MT,SXN(Shun Xiang Nuo Elec),Fixed Inductors,SMD Power Inductors ROHS,5,11.202,Tape & Reel (TR),SM,https://datasheet.lcsc.com/lcsc/2108131530_SXN-Shun-Xiang-Nuo-Elec-SM3521-4R7MT_C35602.pdf,https://assets.lcsc.com/images/lcsc/900x900/20180914_SXN-Shun-Xiang-Nuo-Elec-SM3521-4R7MT_C35602_front.jpg,"[{MountingType,Surface Mount},{Package/Case,SMD}]"
Passive Components,Inductors,RL0810N/40-57-101M,MINGSTAR Elec Corp,Radio Choke Inductors,100uH Plugin Through Hole Inductor,3,36.4065,Tape & Reel (TR),RL0810N,https://datasheet.lcsc.com/lcsc/2105281740_MINGSTAR-RL0810N-40-57-101M_C2832106.pdf,https://assets.lcsc.com/images/lcsc/900x900/20230129_MINGSTAR-RL0810N-40-57-101M_C2832106_blank.jpg,"[{MountingType,Through Hole},{Package/Case,SMD}]"
Passive Components,Inductors,7447480101,Wurth Elektronik,Fixed Inductors,"100 µH Unshielded Drum Core, Wirewound Inductor",12,571.302,Tape & Reel (TR),WE-TI,https://www.we-online.com/components/products/datasheet/7447480101.pdf,https://media.digikey.com/Photos/Wurth%20Electronics%20Photos/7447480101.JPG,"[{MountingType,Through Hole},{Package/Case,SMD}]"
Passive Components,Inductors,MS0420-100M,COILMX,Fixed Inductors,1.6A 10uH ±20% 230m? SMD Power Inductors ROHS,2,67.212,Tape & Reel (TR),-,https://datasheet.lcsc.com/lcsc/1912111437_COILMX-MS0420-100M_C380158.pdf,https://assets.lcsc.com/images/lcsc/900x900/20191105_COILMX-MS0420-100M_C380158_back.jpg,"[{MountingType,Surface Mount},{Package/Case,SMD}]"
Passive Components,Inductors,VLC5020T-2R7N1R7,TDK Corporation,Fixed Inductors,FIXED IND 2.7UH 1.76A 71MOHM SMD,2,204.4365,Tape & Reel (TR),VLCF,https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_power_vlcf5020_en.pdf,https://media.digikey.com/Photos/TDK%20Photos/MFG_VLCF5020.jpg,"[{MountingType,Surface Mount},{Package/Case,Nonstandard}]"
Passive Components,Inductors,VLS6045EX-221M-H,TDK Corporation,Fixed Inductors,800mA 220UH 20% 1.15R POWER INDUCTOR,5,156.828,Tape & Reel (TR),VLS-EX-H,https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_automotive_power_vls6045ex-h_en.pdf,https://media.digikey.com/Photos/TDK%20Photos/MFG_VLS-EX-H-Series.jpg,"[{MountingType,Surface Mount},{Package/Case,Nonstandard}]"
Passive Components,Inductors,IHLP2525CZER3R3M01,"Vishay Intertechnology, Inc.",Fixed Inductors,6A 3.3uH ±20% 28m? SMD Power Inductors ROHS,2,361.2645,Tape & Reel (TR),IHLP-2525CZ-01,https://www.vishay.com/docs/34104/ihlp-2525cz-01.pdf,https://media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_IHLP-2525CZ-01-Series.jpg,"[{MountingType,Surface Mount},{Package/Case,Nonstandard}]"
Passive Components,Crystals and Oscillators,ABS07-32.768KHZ-7-T,Abracon LLC,Cystals,CRYSTAL 32.7680KHZ 7PF SMD,1,235.242,Tape & Reel (TR),ABS07,https://abracon.com/Resonators/ABS07.pdf,https://media.digikey.com/Renders/Abracon%20Renders/ABS07%20Series.jpg,"[{MountingType,Surface Mount},{Package/Case,2-SMD}]"
Passive Components,Crystals and Oscillators,7B08070001,TXC CORPORATION,Cystals,CRYSTAL 8.0000MHZ 18PF SMD,10,0,Tape & Reel (TR),7B,http://www.txccorp.com/download/products/quartz_crystals/2015TXC_7B_19.pdf,https://media.digikey.com/Photos/TXC%20Technology/7B5-SERIES.jpg,"[{MountingType,Surface Mount},{Package/Case,4-SMD}]"
Passive Components,Crystals and Oscillators,CM200C32768DZFT,Citizen Finedevice Co Ltd,Cystals,CRYSTAL 32.7680KHZ 12.5PF SMD,2,201.636,Tape & Reel (TR),CM200C,http://cfd.citizen.co.jp/cms/cfd/pdf/english/CM200C_E.pdf,https://media.digikey.com/Photos/Citizen%20Amer%20Photos/CM200C-32.768KDZB-UT.jpg,"[{MountingType,Surface Mount},{Package/Case,4-SOJ 5.50mm pitch}]"
Passive Components,Crystals and Oscillators,49MD-8.000-20-20-20/A,Suzhou Liming Elec,Cystals,20pF 8000000Hz ±20ppm 49SMD Crystals,1,28.005,Tape & Reel (TR),-,https://datasheet.lcsc.com/lcsc/1809061721_Suzhou-Liming-Elec-49MD-8-000-20-20-20-A_C240959.pdf,https://th.bing.com/th/id/OIP.0FOaZ311i10x1XhLgiMiDgAAAA?pid=ImgDet&rs=1,"[{MountingType,Surface Mount},{Package/Case,HC-49S-SMD}]"
Passive Components,Crystals and Oscillators,X1A000061000200,Seiko Epson,Cystals,32.768kHz SMD Crystal Resonator 12.5pF 90k? ±20ppm -40?~+85? SMD2012-2P Crystals ROHS,2,75.6135,Tape & Reel (TR),-,https://support.epson.biz/td/api/doc_check.php?dl=brief_FC-12D&lang=en,https://image.seapx.com/mall/yangxin/1/20221018/FC-12M-273507.jpg,"[{MountingType,Surface Mount},{Package/Case,SMD2012-2P}]"
Passive Components,Crystals and Oscillators,XXDCCLNANF-8.000000MHZ,TAITIEN Elec,Cystals,SMD3225-4P Crystals ROHS,2,98.0175,Tape & Reel (TR),XX,https://www.taitien.com/wp-content/uploads/2015/12/AT-0002_XX.pdf,https://assets.lcsc.com/images/lcsc/900x900/20230204_TAITIEN-Elec-XXDCCLNANF-8-000000MHZ_C521664_blank.jpg,"[{MountingType,Surface Mount},{Package/Case,SMD3225-4P}]"
